"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","return_product_num","esrb_rating","on_hand_quantity","condition","availability","is_available","is_searchable","product_limit","excluded_skus","has_upsell","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL"
"TFS35926","Search and Merch","Product Details",,"Regression",,"Release date should be appeared if the product is in ""NFS"" state",,,1,"EC,E,E10,T,M,RP,None",-100,"New,Used","NFS",1,1,,"85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS35924","Search and Merch","Product Details",,"Regression",,"Release date should be appeared if the product is in ""PR"" state",,,1,"EC,E,E10,T,M,RP,None",-100,"New","PR",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS33418","Search and Merch","Product Details",,"Regression",,"Verify DLC add-on functionality",,,1,"EC,E,E10,T,M,RP,None",1,"Digital","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS33402","Search and Merch","Product Details",,"Regression",,"Verify Home Store search functionality",,,1,"EC,E,E10,T,M,RP,None",1,"New","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS56843","Search and Merch","Product Details",,"Regression",,"Verify Find a Store link and Pick My Home Store landing page",,,1,"EC,E,E10,T,M,RP,None",1,"Used","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS56880","Search and Merch","Product Details",,"Regression",,"Verify Home Store search functionality - Set this as your Home Store link",,,1,"EC,E,E10,T,M,RP,None",1,"Used","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS56364","Search and Merch","Product Details",,"Regression",,"Verify Brightcove Player - Video Content - Age Gate verification failed",,,1,"M",1,"New","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS56365","Search and Merch","Product Details",,"Regression",,"Verify Brightcove Player - Video Content - Age Gate verification passed",,,1,"M",1,"New","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS57567","Search and Merch","Product Details",,"Regression",,"Verify Brightcove Player contains no more than 8 activated videos",,,1,"EC,E,E10,T,M,RP,None",1,"New","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS64692","Search and Merch","Product Details",,"Regression",,"Verify PUR Pro member pricing on pre-owned product page of a game",,,1,"EC,E,E10,T,M,RP,None",1,"Used","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS64693","Search and Merch","Product Details",,"Regression",,"Verify PUR Pro member pricing on pre-owned product page of an accessory",,,1,"EC,E,E10,T,M,RP,None",1,"Used","A",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS61576","Search and Merch","Product Details",,"Regression",,"Verify release date and time are displayed",,,1,"EC,E,E10,T,M,RP,None",-100,"New","PR",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS63027","Search and Merch","Product Details",,"Regression",,"Verify Suppress Release Date checked does not show date/time",,,1,"EC,E,E10,T,M,RP,None",-100,"New","PR",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS63026","Search and Merch","Product Details",,"Regression",,"Verify Preorder availability date/time show correct date/time",,,1,"EC,E,E10,T,M,RP,None",-100,"New","PR",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS63598","Search and Merch","Product Details",,"Regression",,"Verify Physical Product Preorder availability date show correct date",,,1,"EC,E,E10,T,M,RP,None",-100,"New","PR",1,1,"NULL","85996,85998,85997",0,"pdp_get_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
